,boorid,locatie,minlon,maxlon,minlat,maxlat,pnt_id,pnt_lon,pnt_lat
1348,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L435798P211690,6.620612,52.443079
1349,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L435885P211666,6.620395,52.44325
1350,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L435950P211911,6.621906,52.443565
1351,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L435958P211920,6.62193,52.443587
1352,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L435935P211959,6.622187,52.443562
1353,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L435986P211896,6.62178,52.443634
1354,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L436005P211898,6.621738,52.44367
1355,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L436000P211928,6.621994,52.443688
1356,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L436018P211908,6.621792,52.443707
1357,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L436010P211899,6.621732,52.443681
1358,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L436049P211922,6.621886,52.443786
1359,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L436037P211899,6.621752,52.443744
1360,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L436056P211953,6.62206,52.443822
1361,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L436035P211952,6.622063,52.443775
1362,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L436021P211508,6.619325,52.443439
1363,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L436053P211962,6.622151,52.443826
1364,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L436036P211932,6.621911,52.443761
1365,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L436073P211895,6.621731,52.443823
1366,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L436064P211933,6.621935,52.443825
1367,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L436080P211947,6.622028,52.443871
1368,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L436097P211524,6.619324,52.443611
1369,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L436103P211747,6.620762,52.443784
1370,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L436109P211818,6.62115,52.44384
1371,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L436121P211648,6.620114,52.443751
1372,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L436133P211753,6.620777,52.443854
1373,999,VriezenveenDaarle,6.588365485266638,6.6243005147333625,52.418919485266635,52.45485451473336,L436129P211534,6.619342,52.443684
