datum,meting
2018-10-24,-0.0008
2015-04-07,0.0
2015-05-01,-0.0017
2015-06-18,0.002
2015-07-12,0.0034
2015-08-05,0.0053
2015-08-29,0.0007
2015-09-22,0.0059
2015-10-16,-0.0016
2015-11-09,-0.0069
2015-12-03,0.0016
2015-12-27,0.0022
2016-01-20,-0.0035
2016-02-13,-0.0015
2016-03-08,-0.0039
2016-04-01,0.0029
2016-04-25,0.0025
2016-05-19,0.0038
2016-06-12,0.0085
2016-07-06,0.0085
2016-07-30,0.0055
2016-08-23,0.0095
2016-09-16,0.0053
2016-10-10,0.0025
2016-11-03,-0.0029
2016-11-27,0.0011
2016-12-21,0.003
2017-01-14,0.0015
2017-02-07,-0.0007
2017-03-03,-0.0001
2017-03-27,0.0027
2017-04-20,0.0074
2017-05-14,0.0012
2017-06-07,0.0085
2017-07-01,0.0098
2017-07-25,0.0029
2017-08-18,0.0052
2017-09-11,0.0034
2017-10-05,0.0046
2017-10-29,0.0008
2017-11-22,0.0056
2017-12-16,-0.0024
2018-01-09,0.0025
2018-02-02,0.0018
2018-02-26,-0.0005
2018-03-22,0.0045
2018-04-15,-0.0011
2018-05-09,0.0031
2018-06-02,0.0036
2018-06-26,0.0075
2018-07-20,0.0057
2018-08-13,0.0036
2018-11-17,0.001
2018-09-06,-0.0017
2018-09-30,0.0017
2018-12-11,-0.001
2018-04-15,-0.0014
2015-04-07,0.0
2015-05-01,-0.0013
2015-06-18,0.0031
2015-07-12,0.0003
2015-08-05,0.0033
2015-08-29,0.0005
2015-09-22,0.0038
2015-10-16,-0.0061
2015-11-09,-0.0065
2015-12-03,0.0008
2015-12-27,0.0003
2016-01-20,-0.0075
2016-02-13,-0.0054
2016-03-08,-0.0041
2016-04-01,-0.0005
2016-04-25,0.0013
2016-05-19,0.0035
2016-06-12,-0.017
2016-07-06,0.0048
2016-07-30,0.0029
2016-08-23,0.0063
2016-09-16,0.0011
2016-10-10,0.0015
2016-11-03,-0.0048
2016-11-27,0.0081
2016-12-21,0.0017
2017-01-14,0.0046
2017-02-07,-0.0017
2017-03-03,0.0007
2017-03-27,0.0021
2017-04-20,0.0004
2017-05-14,-0.0032
2017-06-07,0.0044
2017-07-01,0.0051
2017-07-25,0.006
2017-08-18,0.002
2017-09-11,-0.0001
2017-10-05,0.0038
2017-10-29,-0.0004
2017-11-22,0.0021
2017-12-16,-0.0053
2018-01-09,0.0004
2018-02-02,-0.0001
2018-02-26,0.0019
2018-03-22,0.0059
2018-04-15,-0.0056
2018-05-09,0.0012
2018-06-02,0.0099
2018-06-26,0.0084
2018-07-20,0.0081
2018-08-13,-0.0053
2018-09-06,-0.0049
2018-09-30,0.0052
2018-10-24,-0.005
2018-11-17,-0.0028
2018-12-11,-0.0044
2015-08-29,0.0004
2015-09-22,0.0023
2015-10-16,-0.0002
2015-11-09,-0.0015
2015-12-03,-0.0003
2015-12-27,0.0019
2016-01-20,0.0002
2016-02-13,-0.0005
2016-03-08,0.0008
2016-04-01,0.0007
2016-04-25,0.0034
2016-05-19,0.0008
2016-06-12,0.0038
2016-07-06,0.0061
2016-07-30,0.0002
2016-08-23,0.0023
